GENE,aver.sec4.bs,aver.sec4.me,aver.sec9.bs,aver.sec9.me,aver.sec14.bs,aver.sec14.me,sder.sec4.bs,sder.sec4.me,sder.sec9.bs,sder.sec9.me,sder.sec14.bs,sder.sec14.me
AC147602.5_FG004,0.765000183,0.161253778,0.623463952,0.012024241,1.170726241,0.096511628,0.182910631,0.088746222,0.249162276,4.82E-05,0.15377707,0.003488372
AC148152.3_FG005,0.042401049,0.180484547,0.027861803,0.024048483,0.054989337,0.218023256,0.012550303,0.107976992,7.12E-05,9.64E-05,0.024480862,0.031976744
AC148152.3_FG006,0.017719503,0.024905099,0.005558129,0.010382354,0.01047536,0.00375,0.004668557,0.00073592,0.005558129,0.002897324,0.000541586,0.00375
AC148152.3_FG008,18.15064325,27.38229183,14.6514229,15.46299966,5.027601347,4.416860465,2.881986538,0.463862015,1.483825137,0.768388882,0.217431766,0.533139535
AC148167.6_FG001,5.110166117,4.539739787,7.868675312,11.81427886,3.998371187,7.207732558,0.11371448,0.155124403,0.094932295,0.282085552,0.122306856,0.902732558
AC149475.2_FG002,0.042994817,0.148563505,0.024548401,0.046052763,0.06823437,0.034961237,0.001781303,0.009140428,0.024548401,0.009835459,0.037725895,0.011705423
AC149475.2_FG003,3.543039885,1.058810723,1.897842442,0.799591965,1.294993841,1.180542629,0.266920482,0.200804661,0.000667798,0.001805238,0.301616358,0.089457361
AC149475.2_FG005,0.103458814,0.225801769,0.089937554,0.123212329,0.051678079,0.063255814,0.006443889,0.06265977,0.006138671,0.008524198,0.021169603,0.016744186
AC149475.2_FG007,0.056732654,0.028846154,0.005572361,0.015066447,0.009933775,0.005,0.011956535,0.028846154,1.42E-05,0.009078423,0.009933775,0.005
AC149810.2_FG003,0.07647793,0.025181069,0.028320226,0.037577747,0.056093074,0.017441855,0.032974786,0.010075335,0.002249466,0.000651615,0.025584609,0.017441855
AC149810.2_FG004,0.047913695,0.065375901,0.006954777,0.024036434,0.013245033,0.01622093,0.034175857,0.001931791,0.004161481,0.002909673,0.013245033,0.00122093
AC149810.2_FG008,0.049534815,0.10466535,0.013895322,0,0,0.021343669,0.034609442,0.068411573,0.013895322,0,0,0.011343669
AC149818.2_FG001,0.037313433,0,0.013952249,0.002994012,0.016792008,0.015813953,0.037313433,0,0.00839412,0.002994012,0.003546975,0.004186047
AC149818.2_FG004,0.004808243,0.002265861,0.004404928,0.004503066,0,0,0.004808243,0.002265861,0.002542733,0.001484958,0,0
AC149818.2_FG005,0.021200524,0.009615385,0,0.002994012,0.013245033,0.036627907,0.006275151,0.009615385,0,0.002994012,0.013245033,0.013372093
AC149818.2_FG006,1.002417132,0.782029009,0.847760705,0.423567752,0.637611779,1.098779061,0.046695744,0.086560722,0.044967414,0.030154584,0.073204989,0.050445741
AC149818.2_FG007,0.014331606,0.004531722,0.023671858,0,0.013245033,0,0.000593768,0.004531722,0.004118786,0,0.013245033,0
AC149818.2_FG008,0.086286517,0.08295085,0.075935865,0.160063677,0.056614099,0.065755814,0.010728409,0.034873927,0.005069722,0.00161297,0.006945225,0.019244186
AC149828.2_FG002,0.242139339,0.146409478,0.08488955,0.137288802,0.160528681,0.080290698,0.031492496,0.007436676,0.03461022,0.003556269,0.047945899,0.004709302
AC149829.2_FG002,0,0,0.005558129,0,0.006622517,0.01,0,0,0.005558129,0,0.006622517,0.01
AC149829.2_FG003,0.015142098,0.002403846,0,0,0.001271186,0.000528541,0.007181889,0.002403846,0,0,0.001271186,0.000528541
AC149829.2_FG004,0.007165803,0.018402859,0,0.004491018,0,0,0.000296884,0.008787474,0,0.004491018,0,0
AC149829.2_FG006,0.284274598,0.590171564,0.209939207,0.556566021,0.098015104,0.1592558,0.119846763,0.172648917,0.053793978,0.025727721,0.045472737,0.00392248
AC150739.3_FG001,0.122709298,0.265260671,0.052873382,0.139848071,0.155741387,0.074883721,0.026544433,0.029611117,0.024940421,0.01709358,0.003199011,0.005116279
AC152495.1_FG002,0.021064471,0.022617455,0.031487438,0.040713626,0.133437692,0.137235775,0.005352683,0.010763049,0.002325514,0.004697134,0.028174644,0.003670469
AC152495.1_FG003,0.306507978,0.343313985,0.513459755,0.662496545,0.559776669,0.859266043,0.012015164,0.00473729,0.049714298,0.007930386,0.025094731,0.099886953
AC152495.1_FG010,0.021333795,0.023118304,0.021412851,0.036583009,0.061630992,0.13369866,0.00113987,0.013039969,0.001340426,0.00671073,0.020407481,0.012529814
AC152495.1_FG012,0.003434459,0.033101906,0.010227852,0.010479042,0,0.00125,0.003434459,0.014975017,0.004669723,0.010479042,0,0.00125
AC152495.1_FG015,0.001762022,0.005529528,0.004475962,0.00770246,0.004361762,0.0096237,0.001762022,0.000109947,0.002720099,0.005991598,5.71E-05,0.000602851
AC152495.1_FG017,0.012299387,0.003611468,0.005878356,0.012106603,0.03858792,0.095418668,0.004736634,0.001863216,9.61E-06,0.003741517,0.013857554,0.000141965
AC155352.2_FG001,0.008484895,0.008038959,0.007273624,0.009147632,0.010557669,0.004437983,0.001714105,0.001628709,0.000336996,0.000998739,0.00434298,0.000562017
AC155376.2_FG004,0.049566852,0.009615385,0.014162489,0.008251605,0.005084746,0,0.012253419,0.009615385,0.000196009,0.003724442,0.005084746,0
AC155376.2_FG005,0,0.018678829,0.22700609,0.030108797,0.054220452,0.0275,0,0.00055194,0.025888772,0.012144725,0.018627231,0.0275
AC155377.1_FG001,1.858952342,2.478212914,2.777003395,3.093946936,1.598810205,2.188372093,0.023131447,0.132059068,0.313316244,0.18975532,0.215759332,0.288372093
AC155377.1_FG002,0.315295321,0.318251803,0.225616558,0.150218678,0.103058706,0.109069767,0.013062888,0.191363582,0.02449924,0.020440004,0.003720957,0.050930233
AC155390.2_FG002,0,0,0.011116258,0.018012265,0.010169492,0,0,0,0.011116258,0.005939831,0.010169492,0
AC155434.2_FG001,0.021794292,0.084330701,0.00387643,0.014994157,0,0.016627907,0.008056454,0.011823146,0.001681699,0.008957939,0,0.006627907
