accession	lab annotation	curated location	mapmapbin1 	mapmanname1	mapmapbin2	mapmanname2
GRMZM2G003411_P01   	PDR5-like ABC transporter -2	NULL	34.16	transport.ABC transporters and multidrug resistance systems	NULL	NULL
GRMZM2G065908_P05   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G065908_P06   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G065908_P08   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G074386_P07   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G082390_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G086069_P01   	NULL	NULL	30.5	signalling.G-proteins	NULL	NULL
GRMZM2G086069_P02   	NULL	NULL	30.5	signalling.G-proteins	NULL	NULL
GRMZM2G088590_P04   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G101042_P02   	NULL	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G101042_P03   	NULL	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G101042_P04   	NULL	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G108780_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G110402_P04   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G117346_P03   	NULL	NULL	21.4	redox.glutaredoxins	NULL	NULL
GRMZM2G119169_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G120857_P02   	NULL	NULL	8.2.4	TCA / org. transformation.other organic acid transformaitons.IDH	NULL	NULL
GRMZM2G121269_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G121942_P04   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G125239_P04   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G129218_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G130207_P11   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G133838_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G143330_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G146111_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G150058_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G152111_P05   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G159032_P05   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G167356_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G167356_P04   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G171921_P07   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G174619_P01   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G174757_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G175419_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G175419_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G333916_P02   	NULL	NULL	27.3.46	RNA.regulation of transcription.DNA methyltransferases	NULL	NULL
GRMZM2G334041_P02   	NULL	NULL	27.3.46	RNA.regulation of transcription.DNA methyltransferases	NULL	NULL
GRMZM2G336065_P06   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G345055_P03   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G375172_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G406101_P01   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G410393_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G426229_P02   	NULL	NULL	NULL	NULL	NULL	NULL
GRMZM2G461569_P02   	NULL	NULL	13.2.2.3	amino acid metabolism.degradation.glutamate family.arginine	NULL	NULL
GRMZM2G461569_P03   	NULL	NULL	13.2.2.3	amino acid metabolism.degradation.glutamate family.arginine	NULL	NULL
GRMZM2G461569_P04   	NULL	NULL	13.2.2.3	amino acid metabolism.degradation.glutamate family.arginine	NULL	NULL
AC149810.2_FGP004   	unknown protein	plastid	35.2	not assigned.unknown	NULL	NULL
AC155624.2_FGP011   	unknown protein 	plastid	35.2	not assigned.unknown	NULL	NULL
AC182617.3_FGP001   	diaminopimelate epimerase 	plastid stroma	13.1.3.5.4	amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate epimerase	NULL	NULL
AC188023.3_FGP005   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
AC188838.3_FGP005   	amidophosphoribosyltransferase 	plastid	23.1.2.1	nucleotide metabolism.synthesis.purine.amidophosphoribosyltransferase	NULL	NULL
AC189750.4_FGP004   	5'-adenylylsulfate reductase-3 (APR3)	plastid stroma	14.2	S-assimilation.APR	NULL	NULL
AC190623.3_FGP001   	psbW - 'LTP' but spontaneous	plastid	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
AC191009.3_FGP004   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
AC194734.3_FGP004   	LHCII-6 - CP24	thylakoid-integral	1.1.1.1	PS.lightreaction.photosystem II.LHC-II	NULL	NULL
AC194970.5_FGP001   	geranylgeranyl pyrophosphate synthase 2 (GGPS2) 	plastid stroma	16.1.1.10	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	NULL	NULL
AC197672.3_FGP002   	acetyl-CoA carboxylase - ACC2b (ACETYL-COENZYME A CARBOXYLASE); 	plastid stroma	11.1.1	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation	NULL	NULL
AC197705.4_FGP011   	UDP-glucose pyrophosphorylase 3 (UGP3)	plastid	11.10.4	 lipid metabolism.glycolipid synthesis.sulfolipid synthase	NULL	NULL
AC198169.4_FGP004   	RH47 - DEAD/DEAH box RNA helicase 	plastid nucleoid	27.6*	RNA.DEAD BOX helicase	NULL	NULL
AC198353.5_FGP004   	NOL1/NOP2/NusB domain protein 	plastid nucleoid	27.4	RNA.RNA binding	NULL	NULL
AC199526.5_FGP003   	CAF2 (CRM domain)	plastid nucleoid	27.1.1	RNA.processing.splicing	NULL	NULL
AC203535.4_FGP004   	Rieske [2Fe-2S] domain protein	thylakoid	26.3	misc. other Ferredoxins and Rieske domain	NULL	NULL
AC203761.3_FGP002   	Topoisomerase	plastid nucleoid	28.1.5*	DNA.synthesis/chromatin structure.synthesis	NULL	NULL
AC203966.5_FGP002   	PGRL1A-2	thylakoid-integral	1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration	NULL	NULL
AC205730.3_FGP002   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
AC207722.2_FGP009   	LHCII-1.5	thylakoid-integral	1.1.1.1	PS.lightreaction.photosystem II.LHC-II	NULL	NULL
AC208915.3_FGP010   	LHCII-1.5 -2	thylakoid-integral	1.1.1.1	PS.lightreaction.photosystem II.LHC-II	NULL	NULL
AC209374.4_FGP002   	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MDS)	plastid stroma	16.1.1.5	secondary metabolism.isoprenoids.non-mevalonate pathway.MCS	NULL	NULL
AC210013.4_FGP016   	expressed protein	plastid	35.2	not assigned.unknown	NULL	NULL
AC210517.3_FGP003   	 hsp20/alpha crystallin family protein	plastid	29.6	protein.folding	NULL	NULL
AC211737.3_FGP012   	subtilase family protein, Tripeptidyl-peptidase (TTP2)	plastid stroma	29.5.1	protein.degradation.subtilases	NULL	NULL
AC213521.3_FGP005   	HEMA1; glutamyl-tRNA reductase 	plastid stroma	19.2	tetrapyrrole synthesis.glu-tRNA reductase	NULL	NULL
AC215201.3_FGP005   	Cpn60-alpha-1	plastid stroma	29.6	protein.folding	NULL	NULL
AC215690.3_FGP002   	acyl-[acyl-carrier-protein] desaturase-1 (stearoyl-ACP desaturase)	plastid stroma	11.1.15	lipid metabolism.FA synthesis and FA elongation.ACP desaturase	NULL	NULL
AC217300.3_FGP005   	50S ribosomal protein L10	plastid ribosome	29.2.1.1.1.2.10	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L10	NULL	NULL
AC217965.2_FGP012   	expressed protein [Barkan THA8]	plastid	27.1.1	RNA.processing.splicing	NULL	NULL
AC233914.1_FGP001   	expressed protein	plastid	35.1	not assigned.no ontology	NULL	NULL
AC233922.1_FGP005   	tetrahydrofolate dehydrogenase/cyclohydrolase; Methenyltetrahydrofolate cyclohydrolase 	plastid stroma	25.5	C1-metabolism.Methylenetetrahydrofolate dehydrogenase & Methenyltetrahydrofolate cyclohydrolase	NULL	NULL
AC234157.1_FGP002   	30S ribosomal protein S9	plastid ribosome	29.2.1.1.1.1.9	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S9	NULL	NULL
AC234522.1_FGP005   	unknown protein Synechocystis sp., PIR:S76577	thylakoid	35.2	not assigned.unknown	NULL	NULL
AC234528.1_FGP005   	dihydroxyacid dehydratase	plastid stroma	13.1.4.5	amino acid metabolism.synthesis.branched chain group.isoleucine specific	NULL	NULL
AC234575.1_FGP003   	threonine synthase  MTO2 (METHIONINE OVER-ACCUMULATOR)	plastid stroma	13.1.3.2.1	amino acid metabolism.synthesis.aspartate family.threonine.threonine synthase	NULL	NULL
GRMZM2G000219_P01   	PAA1 - copper transport envelope	envelope-inner	34.12	transport.metal	NULL	NULL
GRMZM2G000256_P01   	OEC23-like-6 Tat lTP TP21.5	thylakoid-peripheral-lumenal-side	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
GRMZM2G000256_P02   	OEC23-like-6 Tat lTP TP21.5	thylakoid-peripheral-lumenal-side	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
GRMZM2G000256_P03   	OEC23-like-6 Tat lTP TP21.5	thylakoid-peripheral-lumenal-side	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
GRMZM2G000256_P04   	OEC23-like-6 Tat lTP TP21.5	thylakoid-peripheral-lumenal-side	1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NULL	NULL
GRMZM2G000622_P01   	formyl-glycinamidine ribonucleotide synthase (FGAMS) (PUR4) (dual targeted) -1	plastid	23.1.2.4	nucleotide metabolism.synthesis.purine.FGAR amidotransferase	NULL	NULL
GRMZM2G000660_P01   	protein phosphatase-related 	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G000719_P01   	CtpA-3 - (also CtpC) barley - Pakrashi	plastid	29.9*	protein.processing	NULL	NULL
GRMZM2G001084_P01   	ClpC1/C2	plastid stroma	29.5.5	protein.degradation.serine protease	NULL	NULL
GRMZM2G001255_P01   	unknown protein	plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G001500_P01   	cpHSP70-1 (DnaK homologue)	plastid stroma	29.6	protein.folding	NULL	NULL
