Accession	STD Annot.	TargetP	
AC195340.3_FGP002	NADH-ubiquinone oxidoreductase 23 kDa subunit  [Source:UniProtKB/TrEMBL%3BAcc:B6T8F0]	M	
AC216353.2_FGP005	Unknown protein	_	
GRMZM2G003230_P01	Unknown protein	_	
GRMZM2G003724_P01	Phosphoglycerate kinase  [Source:UniProtKB/TrEMBL%3BAcc:C0PGS2]	_	
GRMZM2G010494_P01	Unknown protein	_	
GRMZM2G013152_P01	Adenylate kinase  [Source:UniProtKB/TrEMBL%3BAcc:K7UTW8]	M	
GRMZM2G014240_P01	Uncharacterized protein%3B Vacuolar proton pump-like protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P8F2]	S	
GRMZM2G014240_P02	Uncharacterized protein%3B Vacuolar proton pump-like protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P8F2]	S	
GRMZM2G014382_P01	NADH ubiquinone oxidoreductase B14 subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FHZ4]	M	
GRMZM2G014382_P02	NADH ubiquinone oxidoreductase B14 subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FHZ4]	_	
GRMZM2G015418_P01	Unknown protein	M	
GRMZM2G016261_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TZA5]	_	
GRMZM2G024484_P01	NADH-ubiquinone oxidoreductase 51 kDa subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FQ98]	M	
GRMZM2G026470_P01	Soluble inorganic pyrophosphatase%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FCR7]	_	
GRMZM2G026470_P02	Soluble inorganic pyrophosphatase%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FCR7]	_	
GRMZM2G027627_P01	Pyruvate dehydrogenase E1 component alpha subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FML9]	M	
GRMZM2G032699_P01	Unknown protein	M	
GRMZM2G032699_P02	Unknown protein	M	
GRMZM2G035542_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7VC91]	S	
GRMZM2G035767_P01	Unknown protein	C	
GRMZM2G035893_P01	Unknown protein	_	
GRMZM2G037955_P01	Unknown protein	S	
GRMZM2G041065_P01	Pyrophosphate-energized vacuolar membrane proton pump  [Source:UniProtKB/TrEMBL%3BAcc:K7UHZ6]	S	
GRMZM2G041418_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P7W2]	M	
GRMZM2G041418_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P7W2]	M	
GRMZM2G042034_P01	NADH-ubiquinone oxidoreductase 20 kDa subunit%3B NADH-ubiquinone oxidoreductase subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4G1P2]	M	
GRMZM2G042034_P02	NADH-ubiquinone oxidoreductase 20 kDa subunit%3B NADH-ubiquinone oxidoreductase subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4G1P2]	_	
GRMZM2G042034_P03	NADH-ubiquinone oxidoreductase 20 kDa subunit%3B NADH-ubiquinone oxidoreductase subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4G1P2]	M	
GRMZM2G043198_P01	Pyruvate dehydrogenase E1 beta subunit isoform 1%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:Q9ZQY3]	M	
GRMZM2G043198_P02	Pyruvate dehydrogenase E1 beta subunit isoform 1%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:Q9ZQY3]	M	
GRMZM2G043198_P03	Pyruvate dehydrogenase E1 beta subunit isoform 1%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:Q9ZQY3]	M	
GRMZM2G043198_P04	Pyruvate dehydrogenase E1 beta subunit isoform 1%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:Q9ZQY3]	M	
GRMZM2G046587_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0HFR9]	_	
GRMZM2G046587_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0HFR9]	M	
GRMZM2G046587_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0HFR9]	_	
GRMZM2G047028_P01	Phosphoglycerate kinase  [Source:UniProtKB/TrEMBL%3BAcc:C0HHJ4]	C	
GRMZM2G047028_P02	Phosphoglycerate kinase  [Source:UniProtKB/TrEMBL%3BAcc:C0HHJ4]	C	
GRMZM2G054632_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UII7]	M	
GRMZM2G061928_P01	Soluble inorganic pyrophosphatase  [Source:UniProtKB/Swiss-Prot%3BAcc:O48556]	_	
GRMZM2G061928_P02	Soluble inorganic pyrophosphatase  [Source:UniProtKB/Swiss-Prot%3BAcc:O48556]	_	
GRMZM2G061928_P03	Soluble inorganic pyrophosphatase  [Source:UniProtKB/Swiss-Prot%3BAcc:O48556]	_	
GRMZM2G061928_P04	Soluble inorganic pyrophosphatase  [Source:UniProtKB/Swiss-Prot%3BAcc:O48556]	_	
GRMZM2G062197_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UIW0]	_	
GRMZM2G062197_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UIW0]	_	
GRMZM2G068455_P01	Malate dehydrogenase  [Source:UniProtKB/TrEMBL%3BAcc:B4FFV3]	C	
GRMZM2G068455_P02	Malate dehydrogenase  [Source:UniProtKB/TrEMBL%3BAcc:B4FFV3]	C	
GRMZM2G068455_P03	Malate dehydrogenase  [Source:UniProtKB/TrEMBL%3BAcc:B4FFV3]	C	
GRMZM2G069061_P01	NADH-ubiquinone oxidoreductase 20 kDa subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FBW1]	M	
GRMZM2G069095_P01	Vacuolar H+-translocating inorganic pyrophosphatase  [Source:UniProtKB/TrEMBL%3BAcc:Q5K3Q7]	S	
GRMZM2G069095_P02	Vacuolar H+-translocating inorganic pyrophosphatase  [Source:UniProtKB/TrEMBL%3BAcc:Q5K3Q7]	S	
GRMZM2G069260_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P9U8]	M	
GRMZM2G069260_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P9U8]	M	
GRMZM2G069410_P01	Unknown protein	_	
GRMZM2G072806_P01	NADH-ubiquinone oxidoreductase 23 kDa subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FUH1]	M	
GRMZM2G075144_P01	Unknown protein	S	
GRMZM2G075900_P01	H+-translocating pyrophosphatase  [Source:UniProtKB/TrEMBL%3BAcc:A0MWC0]	_	
GRMZM2G079944_P01	Adenylate kinase  [Source:UniProtKB/TrEMBL%3BAcc:K7TN22]	M	
GRMZM2G081387_P01	Unknown protein	C	
GRMZM2G086882_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0PM74]	_	
GRMZM2G090487_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7VC17]	M	
GRMZM2G092923_P01	Putative uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B6SLH8]	M	
GRMZM2G092923_P02	Putative uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B6SLH8]	M	
GRMZM2G092923_P03	Putative uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B6SLH8]	_	
GRMZM2G101290_P01	Unknown protein	M	
GRMZM2G101290_P02	Unknown protein	M	
GRMZM2G104419_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7URL6]	S	
GRMZM2G104918_P01	Soluble inorganic pyrophosphatase%3B Soluble inorganic pyrophosphatase isoform 1%3B Soluble inorganic pyrophosphatase isoform 2%3B Soluble inorganic pyrophosphatase isoform 3%3B Soluble inorganic pyrophosphatase isoform 4%3B Uncharacterized protein  	_	
GRMZM2G104918_P02	Soluble inorganic pyrophosphatase%3B Soluble inorganic pyrophosphatase isoform 1%3B Soluble inorganic pyrophosphatase isoform 2%3B Soluble inorganic pyrophosphatase isoform 3%3B Soluble inorganic pyrophosphatase isoform 4%3B Uncharacterized protein  	_	
GRMZM2G104918_P03	Soluble inorganic pyrophosphatase%3B Soluble inorganic pyrophosphatase isoform 1%3B Soluble inorganic pyrophosphatase isoform 2%3B Soluble inorganic pyrophosphatase isoform 3%3B Soluble inorganic pyrophosphatase isoform 4%3B Uncharacterized protein  	_	
GRMZM2G104918_P04	Soluble inorganic pyrophosphatase%3B Soluble inorganic pyrophosphatase isoform 1%3B Soluble inorganic pyrophosphatase isoform 2%3B Soluble inorganic pyrophosphatase isoform 3%3B Soluble inorganic pyrophosphatase isoform 4%3B Uncharacterized protein  	_	
GRMZM2G105207_P01	NADH-ubiquinone oxidoreductase 18 kDa subunit%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FGH7]	M	
